,text_description
249,有一个Huangpu的attached lane house，1卧0厅1卫，面积是12平方米，有空调，房租价格是2900.0。
250,有一个Huangpu的public housing，1卧0厅1卫，面积是15平方米，有空调，房租价格是2900.0。
251,有一个Huangpu的attached lane house，1卧1厅1卫，面积是38平方米，有空调，有WIFI，房租价格是3000.0。
252,有一个Huangpu的attached lane house，2卧0厅1卫，面积是52平方米，有室外空间，有空调，有阳台，房租价格是3000.0。
253,有一个Huangpu的attached lane house，1卧0厅1卫，面积是12平方米，有空调，房租价格是3000.0。
254,有一个Huangpu的attached lane house，1卧0厅1卫，面积是15平方米，有空调，房租价格是3000.0。
255,有一个Huangpu的public housing，1卧0厅1卫，面积是15平方米，有空调，房租价格是3000.0。
256,有一个Huangpu的attached lane house，1卧1厅1卫，面积是15平方米，有空调，房租价格是3000.0。
257,有一个Huangpu的attached lane house，1卧1厅1卫，面积是38平方米，有空调，有WIFI，房租价格是3000.0。
258,有一个Huangpu的detached lane house，1卧1厅1卫，面积是38平方米，有空调，有WIFI，房租价格是3000.0。
259,有一个Huangpu的attached lane house，1卧1厅1卫，面积是38平方米，有空调，有WIFI，房租价格是3000.0。
260,有一个Huangpu的attached lane house，1卧1厅1卫，面积是30平方米，有空调，有WIFI，房租价格是3000.0。
261,有一个Huangpu的public housing，1卧1厅1卫，面积是38平方米，有供暖，有空调，房租价格是3000.0。
262,有一个Huangpu的attached lane house，1卧1厅1卫，面积是30平方米，有空调，有阳台，有WIFI，房租价格是3000.0。
263,有一个Huangpu的attached lane house，1卧2厅1卫，面积是36平方米，有空调，有WIFI，房租价格是3000.0。
264,有一个Huangpu的attached lane house，1卧1厅1卫，面积是30平方米，有室外空间，有供暖，有空调，有阳台，有浴缸，房租价格是3000.0。
265,有一个Huangpu的attached lane house，1卧1厅1卫，面积是30平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是3000.0。
266,有一个Huangpu的attached lane house，1卧0厅1卫，面积是12平方米，有空调，房租价格是3000.0。
267,有一个Huangpu的detached lane house，1卧0厅1卫，面积是10平方米，有空调，房租价格是3200.0。
268,有一个Huangpu的detached lane house，1卧0厅1卫，面积是15平方米，有室外空间，房租价格是3200.0。
269,有一个Huangpu的detached lane house，1卧0厅1卫，面积是12平方米，有空调，房租价格是3200.0。
270,有一个Huangpu的attached lane house，1卧0厅1卫，面积是12平方米，有空调，有WIFI，房租价格是3200.0。
271,有一个Huangpu的detached lane house，1卧1厅1卫，面积是15平方米，有供暖，有空调，有WIFI，房租价格是3300.0。
272,有一个Huangpu的attached lane house，1卧0厅1卫，面积是15平方米，有空调，房租价格是3400.0。
273,有一个Huangpu的attached lane house，1卧0厅1卫，面积是15平方米，有室外空间，有空调，房租价格是3400.0。
274,有一个Huangpu的attached lane house，1卧0厅1卫，面积是22平方米，有空调，房租价格是3450.0。
275,有一个Huangpu的detached lane house，1卧1厅1卫，面积是25平方米，有空调，有WIFI，房租价格是3500.0。
276,有一个Huangpu的attached lane house，1卧1厅1卫，面积是20平方米，有空调，房租价格是3500.0。
277,有一个Huangpu的attached lane house，1卧0厅1卫，面积是15平方米，有空调，房租价格是3500.0。
278,有一个Huangpu的detached lane house，1卧0厅1卫，面积是13平方米，有空调，房租价格是3500.0。
279,有一个Huangpu的detached lane house，1卧0厅1卫，面积是16平方米，有空调，有WIFI，房租价格是3500.0。
280,有一个Huangpu的attached lane house，1卧1厅1卫，面积是20平方米，有空调，房租价格是3500.0。
281,有一个Huangpu的attached lane house，1卧1厅1卫，面积是20平方米，有室外空间，有空调，有阳台，房租价格是3600.0。
282,有一个Huangpu的attached lane house，1卧0厅1卫，面积是13平方米，有空调，房租价格是3700.0。
283,有一个Huangpu的attached lane house，1卧1厅1卫，面积是25平方米，有空调，房租价格是3800.0。
284,有一个Huangpu的attached lane house，1卧1厅1卫，面积是20平方米，有供暖，有空调，有阳台，有地暖，房租价格是3800.0。
285,有一个Huangpu的attached lane house，1卧0厅1卫，面积是10平方米，有空调，房租价格是3800.0。
286,有一个Huangpu的attached lane house，1卧1厅1卫，面积是30平方米，有空调，房租价格是3800.0。
287,有一个Huangpu的attached lane house，1卧1厅1卫，面积是30平方米，有空调，房租价格是3800.0。
288,有一个Huangpu的attached lane house，1卧0厅1卫，面积是12平方米，有空调，房租价格是3800.0。
289,有一个Huangpu的attached lane house，1卧0厅1卫，面积是20平方米，有空调，房租价格是3800.0。
290,有一个Huangpu的attached lane house，1卧1厅1卫，面积是30平方米，有空调，房租价格是3900.0。
291,有一个Huangpu的public housing，1卧1厅1卫，面积是30平方米，有空调，房租价格是3900.0。
292,有一个Huangpu的attached lane house，1卧1厅1卫，面积是30平方米，有空调，房租价格是3900.0。
293,有一个Huangpu的attached lane house，1卧1厅1卫，面积是22平方米，有空调，有WIFI，房租价格是3900.0。
294,有一个Huangpu的attached lane house，1卧0厅1卫，面积是20平方米，有空调，房租价格是4000.0。
295,有一个Huangpu的attached lane house，1卧0厅1卫，面积是18平方米，有空调，房租价格是4000.0。
296,有一个Huangpu的attached lane house，1卧1厅1卫，面积是28平方米，有空调，房租价格是4000.0。
297,有一个Huangpu的attached lane house，1卧1厅1卫，面积是25平方米，有空调，房租价格是4000.0。
298,有一个Huangpu的detached lane house，1卧0厅1卫，面积是40平方米，有空调，房租价格是4000.0。
299,有一个Huangpu的attached lane house，1卧1厅1卫，面积是40平方米，有空调，房租价格是4000.0。
300,有一个Huangpu的attached lane house，1卧1厅1卫，面积是20平方米，有空调，房租价格是4000.0。
301,有一个Huangpu的attached lane house，1卧1厅1卫，面积是28平方米，有空调，房租价格是4000.0。
302,有一个Huangpu的attached lane house，1卧1厅1卫，面积是25平方米，有空调，房租价格是4000.0。
303,有一个Huangpu的attached lane house，1卧1厅1卫，面积是20平方米，有空调，房租价格是4000.0。
304,有一个Huangpu的attached lane house，2卧2厅1卫，面积是40平方米，有空调，有阳台，房租价格是4000.0。
305,有一个Huangpu的attached lane house，1卧1厅1卫，面积是20平方米，有空调，房租价格是4100.0。
306,有一个Huangpu的attached lane house，1卧0厅1卫，面积是28平方米，有空调，有WIFI，房租价格是4200.0。
307,有一个Huangpu的attached lane house，2卧1厅1卫，面积是30平方米，有空调，房租价格是4200.0。
308,有一个Huangpu的detached lane house，1卧1厅1卫，面积是19平方米，有室外空间，有空调，有浴缸，房租价格是4200.0。
309,有一个Huangpu的attached lane house，1卧1厅1卫，面积是20平方米，有室外空间，房租价格是4200.0。
310,有一个Huangpu的attached lane house，1卧0厅1卫，面积是25平方米，有空调，房租价格是4200.0。
311,有一个Huangpu的detached lane house，1卧1厅1卫，面积是38平方米，有空调，房租价格是4200.0。
312,有一个Huangpu的attached lane house，1卧1厅1卫，面积是40平方米，有空调，房租价格是4200.0。
313,有一个Huangpu的attached lane house，1卧1厅2卫，面积是30平方米，有供暖，有地暖，房租价格是4300.0。
314,有一个Huangpu的attached lane house，1卧1厅1卫，面积是16平方米，有供暖，有空调，有WIFI，房租价格是4300.0。
315,有一个Huangpu的attached lane house，1卧1厅1卫，面积是20平方米，有空调，房租价格是4300.0。
316,有一个Huangpu的detached lane house，1卧1厅1卫，面积是30平方米，有室外空间，房租价格是4300.0。
317,有一个Huangpu的attached lane house，1卧0厅1卫，面积是20平方米，房租价格是4400.0。
318,有一个Huangpu的attached lane house，1卧1厅1卫，面积是25平方米，有空调，房租价格是4500.0。
319,有一个Huangpu的detached lane house，1卧0厅1卫，面积是36平方米，有室外空间，有空调，房租价格是4500.0。
320,有一个Huangpu的attached lane house，2卧1厅1卫，面积是45平方米，有空调，房租价格是4500.0。
321,有一个Huangpu的detached lane house，1卧0厅1卫，面积是36平方米，有空调，房租价格是4500.0。
322,有一个Huangpu的attached lane house，2卧2厅1卫，面积是40平方米，有空调，有WIFI，房租价格是4500.0。
323,有一个Huangpu的attached lane house，1卧1厅1卫，面积是28平方米，有空调，房租价格是4500.0。
324,有一个Huangpu的attached lane house，1卧1厅1卫，面积是35平方米，有空调，有阳台，房租价格是4500.0。
325,有一个Huangpu的attached lane house，1卧1厅1卫，面积是30平方米，有空调，房租价格是4500.0。
326,有一个Huangpu的attached lane house，1卧0厅1卫，面积是15平方米，有供暖，有空调，有WIFI，房租价格是4500.0。
